Date,Close/Last,Volume,Open,High,Low
07/09/15,204.9,141251300,207.04,207.35,204.77
07/08/15,204.53,163538700,206.45,206.7645,204.25
07/07/15,208.02,173452600,206.96,208.17,204.11
07/06/15,206.72,117560100,205.77,207.65,205.53
07/02/15,207.31,104256300,208.07,208.27,206.81
07/01/15,207.5,134195600,207.73,208.03,206.56
06/30/2015,205.85,182761900,207.26,207.32,205.28
06/29/2015,205.42,194187600,208.045,209.828,205.33
06/26/2015,209.82,103470400,210.29,210.58,209.16
06/25/2015,209.86,97026210,211.1,211.25,209.77
06/24/2015,210.5,92151530,211.72,212.17,210.47
06/23/2015,212.04,68053640,212.14,212.44,211.57
06/22/2015,211.89,70514900,211.905,212.59,211.64
06/19/2015,210.81,130219500,211.46,211.55,210.36
06/18/2015,212.78,164892200,211.31,213.34,210.6315
06/17/2015,210.59,126642800,210.59,211.32,209.36
06/16/2015,210.25,85152890,208.93,210.35,208.72
06/15/2015,209.11,124240100,208.64,209.45,207.79
06/12/15,210.01,135327800,210.64,211.482,209.68
06/11/15,211.63,73755850,211.48,212.09,211.2
06/10/15,210.95,133678600,209.37,211.41,209.2987
06/09/15,208.45,104826800,208.45,209.1,207.69
06/08/15,208.48,88866040,209.64,209.82,208.39
06/05/15,209.77,121669100,209.95,210.58,208.98
06/04/15,210.1292,151747400,211.07,211.859,209.75
06/03/15,211.92,87704660,212,212.67,211.3301
06/02/15,211.36,91438580,211.02,212.19,210.27
06/01/15,211.57,93171140,211.94,212.34,210.62
05/29/2015,211.14,123383800,212.38,212.43,210.82
05/28/2015,212.46,74855480,212.33,212.59,211.63
05/27/2015,212.7,92949380,211.25,212.98,210.7612
05/26/2015,210.7,124074500,212.4,212.9089,210.2
05/22/2015,212.99,57367260,213.04,213.54,212.91
05/21/2015,213.5,64544870,212.71,213.75,212.51
05/20/2015,212.88,76542810,213.15,213.78,212.504
05/19/2015,213.03,72041550,213.24,213.57,212.69
05/18/2015,213.1,74382800,212.24,213.4,212.16
05/15/2015,212.44,76393990,212.44,212.61,211.86
05/14/2015,212.21,95825920,211.24,212.32,210.91
05/13/2015,210.02,94544280,210.47,211.22,209.74
05/12/15,209.98,119647000,209.61,210.63,208.62
05/11/15,210.605,75465110,211.57,211.89,210.52
05/08/15,211.62,156207000,210.88,211.86,210.78
05/07/15,208.87,88018400,207.92,209.38,207.52
05/06/15,208.04,135438200,209.56,209.93,206.76
05/05/15,208.9,113182500,211.03,211.46,208.73
05/04/15,211.32,70813860,211.23,212.02,211.1
05/01/15,210.72,103245100,209.4,210.77,209.28
04/30/2015,208.46,160666400,209.88,210.35,207.62
04/29/2015,210.57,125567200,210.37,211.29,209.6
04/28/2015,211.44,86758030,210.74,211.5,209.3301
04/27/2015,210.77,79107250,212.33,212.48,210.54
04/24/2015,211.6499,61224640,211.66,211.97,211.11
04/23/2015,211.16,102247700,210.15,211.94,210.01
04/22/2015,210.63,78047720,210.01,210.85,208.9
04/21/2015,209.6,71355280,210.67,210.86,209.24
04/20/2015,209.85,92026870,209.06,210.25,208.96
04/17/2015,207.95,191012500,208.94,209.23,207.01
04/16/2015,210.37,68783390,210.03,210.98,209.7928
04/15/2015,210.43,99415800,210.05,211.04,209.95
04/14/2015,209.49,74795430,208.85,209.71,208.1
04/13/2015,209.09,74139030,209.87,210.63,209.03
04/10/15,210.04,72471010,209.2,210.09,208.96
